week,yeezy:,air jordan:,asics:,adidas samba:,new balance:
2020-04-26,0,36,5,0,10
2020-05-03,0,53,5,0,10
2020-05-10,0,44,5,0,10
2020-05-17,0,47,4,0,11
2020-05-24,0,40,4,0,11
2020-05-31,0,36,4,0,10
2020-06-07,0,39,4,0,11
2020-06-14,0,41,5,0,11
2020-06-21,0,44,5,0,10
2020-06-28,0,46,5,0,10
2020-07-05,0,43,5,0,10
2020-07-12,0,40,5,0,10
2020-07-19,0,48,4,0,10
2020-07-26,0,43,5,0,10
2020-08-02,0,41,5,0,11
2020-08-09,0,37,5,0,11
2020-08-16,0,36,4,0,10
2020-08-23,0,35,4,0,10
2020-08-30,0,33,4,0,10
2020-09-06,0,32,4,0,10
2020-09-13,1,32,4,0,10
2020-09-20,0,35,3,0,10
2020-09-27,0,33,3,0,9
2020-10-04,0,31,3,0,10
2020-10-11,0,32,3,0,10
2020-10-18,0,31,3,0,10
2020-10-25,0,34,3,0,9
2020-11-01,0,26,2,0,7
2020-11-08,0,34,3,0,9
2020-11-15,1,39,3,0,10
2020-11-22,1,61,5,0,13
2020-11-29,3,61,4,0,12
2020-12-06,0,70,3,0,11
2020-12-13,0,63,3,0,10
2020-12-20,0,67,3,0,10
2020-12-27,0,58,4,0,11
2021-01-03,0,48,4,0,10
2021-01-10,0,47,3,0,9
2021-01-17,1,48,3,0,9
2021-01-24,0,48,3,0,9
2021-01-31,0,49,3,0,10
2021-02-07,0,50,3,0,9
2021-02-14,1,53,3,0,9
2021-02-21,1,48,3,0,10
2021-02-28,1,59,4,0,11
2021-03-07,1,54,4,0,12
2021-03-14,1,56,4,0,13
2021-03-21,2,57,4,0,13
2021-03-28,1,53,4,0,13
2021-04-04,1,52,5,0,13
2021-04-11,1,52,4,0,13
2021-04-18,1,51,4,0,12
2021-04-25,2,50,4,0,12
2021-05-02,1,50,4,0,12
2021-05-09,1,45,4,0,12
2021-05-16,1,44,4,0,12
2021-05-23,2,43,4,0,12
2021-05-30,1,44,4,0,13
2021-06-06,1,40,4,0,11
2021-06-13,1,41,4,0,13
2021-06-20,1,42,4,0,13
2021-06-27,0,46,3,0,13
2021-07-04,0,46,4,0,12
2021-07-11,0,50,4,0,12
2021-07-18,0,52,4,0,12
2021-07-25,0,57,5,0,13
2021-08-01,2,55,3,0,12
2021-08-08,0,63,3,0,12
2021-08-15,0,62,3,0,12
2021-08-22,0,56,3,0,12
2021-08-29,0,55,3,0,10
2021-09-05,1,51,3,0,11
2021-09-12,1,47,3,0,10
2021-09-19,2,49,2,0,9
2021-09-26,5,54,2,0,11
2021-10-03,1,52,3,0,10
2021-10-10,1,51,3,0,12
2021-10-17,1,57,3,0,14
2021-10-24,1,54,3,0,14
2021-10-31,1,56,2,0,13
2021-11-07,1,69,2,0,15
2021-11-14,1,72,3,0,15
2021-11-21,1,88,3,0,19
2021-11-28,1,82,3,0,13
2021-12-05,1,86,2,0,9
2021-12-12,1,84,2,0,10
2021-12-19,1,85,2,0,10
2021-12-26,1,77,2,0,10
2022-01-02,1,63,2,0,9
2022-01-09,2,62,2,0,9
2022-01-16,1,58,2,0,10
2022-01-23,1,53,3,0,14
2022-01-30,1,53,2,0,14
2022-02-06,1,62,3,0,16
2022-02-13,1,67,3,0,16
2022-02-20,3,67,3,0,17
2022-02-27,1,64,3,0,18
2022-03-06,1,66,2,0,19
2022-03-13,1,62,2,0,16
2022-03-20,1,59,2,0,16
2022-03-27,1,58,3,0,16
2022-04-03,1,60,4,0,18
2022-04-10,1,58,4,0,19
2022-04-17,1,57,3,0,18
2022-04-24,1,59,3,0,18
2022-05-01,0,57,3,0,16
2022-05-08,1,56,2,0,12
2022-05-15,0,58,2,0,11
2022-05-22,1,61,2,0,10
2022-05-29,1,54,2,0,9
2022-06-05,0,52,2,1,9
2022-06-12,1,52,2,1,11
2022-06-19,1,53,2,1,11
2022-06-26,0,49,2,1,11
2022-07-03,0,47,2,1,10
2022-07-10,0,57,2,1,10
2022-07-17,1,60,2,1,10
2022-07-24,1,64,2,1,12
2022-07-31,1,70,2,1,12
2022-08-07,2,69,2,1,13
2022-08-14,3,70,2,1,12
2022-08-21,2,67,2,1,10
2022-08-28,2,62,2,1,9
2022-09-04,2,62,2,1,9
2022-09-11,2,60,2,1,8
2022-09-18,2,60,2,1,8
2022-09-25,2,57,2,1,8
2022-10-02,4,58,1,1,10
2022-10-09,3,57,1,1,9
2022-10-16,3,56,1,1,8
2022-10-23,6,59,1,1,8
2022-10-30,1,54,1,1,8
2022-11-06,1,65,1,1,8
2022-11-13,1,74,2,1,8
2022-11-20,1,88,2,2,12
2022-11-27,1,76,2,1,10
2022-12-04,1,85,2,1,10
2022-12-11,1,100,1,1,10
2022-12-18,1,89,1,1,9
2022-12-25,1,93,1,2,11
2023-01-01,1,73,1,1,8
2023-01-08,1,70,1,1,8
2023-01-15,2,64,2,1,9
2023-01-22,1,62,2,1,8
2023-01-29,1,63,2,1,9
2023-02-05,1,64,2,2,9
2023-02-12,1,63,2,1,9
2023-02-19,1,69,1,2,11
2023-02-26,1,67,1,2,11
2023-03-05,0,66,1,2,11
2023-03-12,0,68,1,2,9
2023-03-19,0,61,2,2,9
2023-03-26,0,60,1,2,9
2023-04-02,0,61,1,2,10
2023-04-09,0,57,2,2,8
2023-04-16,0,60,2,2,8
2023-04-23,0,58,2,2,9
2023-04-30,0,59,2,2,9
2023-05-07,0,59,2,2,9
2023-05-14,0,66,2,2,9
2023-05-21,0,62,2,3,8
2023-05-28,0,58,2,2,8
2023-06-04,0,53,2,2,8
2023-06-11,0,53,2,3,8
2023-06-18,0,48,2,3,8
2023-06-25,0,47,2,3,8
2023-07-02,0,51,4,3,21
2023-07-09,0,52,6,3,28
2023-07-16,0,57,6,3,28
2023-07-23,0,62,8,3,30
2023-07-30,0,71,8,4,34
2023-08-06,0,69,8,4,33
2023-08-13,0,59,7,3,33
2023-08-20,0,57,7,3,29
2023-08-27,0,56,6,3,29
2023-09-03,0,53,6,4,26
2023-09-10,0,52,6,3,26
2023-09-17,0,51,6,4,27
2023-09-24,0,51,6,5,27
2023-10-01,0,48,6,4,24
2023-10-08,0,51,6,4,27
2023-10-15,0,50,6,4,25
2023-10-22,0,47,6,4,25
2023-10-29,0,46,6,4,24
2023-11-05,0,52,7,5,27
2023-11-12,0,60,6,5,30
2023-11-19,0,75,9,7,45
2023-11-26,0,65,7,6,36
2023-12-03,0,68,6,6,31
2023-12-10,0,75,7,5,33
2023-12-17,0,73,6,5,33
2023-12-24,0,74,8,7,38
2023-12-31,0,54,7,5,28
2024-01-07,0,50,6,5,27
2024-01-14,0,44,6,5,25
2024-01-21,0,46,6,5,24
2024-01-28,0,48,6,5,28
2024-02-04,0,50,7,6,30
2024-02-11,9,49,7,6,27
2024-02-18,2,53,8,7,32
2024-02-25,1,52,8,7,34
2024-03-03,1,48,8,8,33
2024-03-10,1,47,8,8,34
2024-03-17,1,49,9,8,36
2024-03-24,1,46,9,7,35
2024-03-31,1,41,8,6,33
2024-04-07,1,41,9,7,32
2024-04-14,1,42,9,7,33
2024-04-21,2,43,9,8,34
2024-04-28,1,45,9,9,33
2024-05-05,1,45,9,9,33
2024-05-12,1,45,9,8,30
2024-05-19,1,47,9,9,29
2024-05-26,1,43,10,9,30
2024-06-02,1,40,10,9,28
2024-06-09,1,40,10,10,29
2024-06-16,1,40,10,10,28
2024-06-23,1,38,11,9,27
2024-06-30,1,41,13,11,29
2024-07-07,1,41,13,10,33
2024-07-14,1,46,13,12,32
2024-07-21,0,52,15,14,35
2024-07-28,0,61,16,16,42
2024-08-04,1,54,16,16,41
2024-08-11,1,54,16,14,45
2024-08-18,0,55,15,14,39
2024-08-25,0,49,13,12,35
2024-09-01,0,45,13,11,32
2024-09-08,0,40,10,10,29
2024-09-15,0,40,11,9,29
2024-09-22,0,40,10,9,28
2024-09-29,0,37,10,9,28
2024-10-06,0,36,10,9,26
2024-10-13,0,35,9,9,28
2024-10-20,0,37,9,8,28
2024-10-27,0,38,9,8,26
2024-11-03,0,37,9,8,25
2024-11-10,0,46,10,9,30
2024-11-17,0,53,11,10,30
2024-11-24,0,65,16,13,49
2024-12-01,0,58,12,8,40
2024-12-08,0,63,12,7,36
2024-12-15,0,70,12,7,37
2024-12-22,0,67,14,8,40
2024-12-29,0,46,11,6,31
2025-01-05,0,46,9,5,28
2025-01-12,1,48,9,5,28
2025-01-19,1,43,9,6,25
2025-01-26,1,46,9,8,26
2025-02-02,1,57,10,6,27
2025-02-09,4,57,9,7,26
2025-02-16,0,49,10,7,29
2025-02-23,1,57,11,6,31
2025-03-02,0,49,11,6,33
2025-03-09,0,49,12,8,36
2025-03-16,1,46,12,8,34
2025-03-23,0,39,11,8,33
2025-03-30,0,38,11,7,33
2025-04-06,0,36,11,7,33
2025-04-13,0,38,12,7,31
2025-04-20,0,39,13,7,31
2025-04-27,0,36,12,7,31
